UK SPECTRUM FREQUENCIES BAND USE (1 kHz - 80 GHz) 2019


9 kHz - 148 kHz Licence Exempt, Metal Detectors
457.568 MHz - 457.581 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
457.568 MHz - 457.581 MHz - Maritime Radio, Ship Radio

458.500 MHz - 458.950 MHz - Licence Exempt, Industrial/Commercial Telemetry and Tele-command
458.500 MHz - 459.500 MHz - Licence Exempt, Model Control

458.7875 MHz - New Simple UK
458.8000 MHz - New Simple UK
458.8125 MHz - New Simple UK
458.8250 MHz - New Simple UK

458.818 MHz - 458.831 MHz - Licence Exempt, Fixed Alarms
458.831 MHz - 458.843 MHz - Licence Exempt, Mobile, Transportable and Lone worker Safety Alarms
458.900 MHz - 458.900 MHz - Licence Exempt, Vehicle Paging Alarms
458.962 MHz - 459.100 MHz - Licence Exempt, Medical and Biological Applications

459.000 MHz - 459.500 MHz - Business Radio, Business Radio (Simple Site)
459.493 MHz - 459.506 MHz - Business Radio, Business Radio (Police and Fire)
459.506 MHz - 459.518 MHz - Business Radio, Business Radio (Police and Fire)
459.525 MHz - 460.496 MHz - Business Radio, Business Radio (Area Defined)
459.525 MHz - 460.496 MHz - Business Radio, Business Radio (Technically Assigned)
459.531 MHz - 459.543 MHz - Business Radio, Business Radio (Police and Fire)
460.181 MHz - 460.193 MHz - Business Radio, Business Radio (Suppliers Light)
460.500 MHz - 460.750 MHz - Business Radio, Business Radio (Police and Fire)
460.759 MHz - 462.487 MHz - Business Radio, Business Radio (Area Defined)
460.759 MHz - 462.487 MHz - Business Radio, Business Radio (Technically Assigned)

461.231 MHz - 461.256 MHz - Programme Making and Special Events, Audio Distribution System
461.231 MHz - 461.256 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
461.231 MHz - 461.256 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
461.231 MHz - 461.256 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

461.300 MHz - G4S National

462.125 CTCSS 69.3   CH01 - BAOFENG BF-888s DEFAULT
462.225              CH02 - BAOFENG BF-888s DEFAULT
462.325              CH03 - BAOFENG BF-888s DEFAULT
462.425 CTCSS 103.5  CH04 - BAOFENG BF-888s DEFAULT
462.525 CTCSS 114.8  CH05 - BAOFENG BF-888s DEFAULT
462.625 CTCSS 127.3  CH06 - BAOFENG BF-888s DEFAULT
462.725 CTCSS 136.5  CH07 - BAOFENG BF-888s DEFAULT
462.825 CTCSS 162.2  CH08 - BAOFENG BF-888s DEFAULT
462.925 DCS 025      CH09 - BAOFENG BF-888s DEFAULT
463.025 DCS 032      CH10 - BAOFENG BF-888s DEFAULT
463.125 DCS 125      CH11 - BAOFENG BF-888s DEFAULT
463.225 DCS 331      CH12 - BAOFENG BF-888s DEFAULT
463.525 DCS 023      CH13 - BAOFENG BF-888s DEFAULT
450.225              CH14 - BAOFENG BF-888s DEFAULT
469.945 CTCSS 203.5  CH15 - BAOFENG BF-888s DEFAULT
469.950 CTCSS 203.5  CH16 - BAOFENG BF-888s DEFAULT


461.412 MHz - 461.437 MHz - Business Radio, Business Radio (Suppliers Light)
461.506 MHz - 461.518 MHz - Business Radio, Business Radio (Suppliers Light)
461.831 MHz - 461.843 MHz - Business Radio, Business Radio (Suppliers Light)
461.881 MHz - 461.893 MHz - Business Radio, Business Radio (Suppliers Light)
461.956 MHz - 461.968 MHz - Business Radio, Business Radio (Suppliers Light)
462.056 MHz - 462.068 MHz - Business Radio, Business Radio (Suppliers Light)
462.181 MHz - 462.193 MHz - Business Radio, Business Radio (Suppliers Light)
462.356 MHz - 462.368 MHz - Business Radio, Business Radio (Suppliers Light)
462.418 MHz - 462.431 MHz - Business Radio, Business Radio (Suppliers Light)
462.456 MHz - 462.468 MHz - Business Radio, Business Radio (Suppliers Light)
462.468 MHz - 462.481 MHz - Business Radio, Business Radio (Suppliers Light)
462.481 MHz - 462.493 MHz - Business Radio, Business Radio (Suppliers Light)

462.500 MHz - 462.750 MHz - Business Radio, Business Radio (Police and Fire)

462.750 MHz - 463 MHz - Programme Making and Special Events, Audio Distribution System
462.750 MHz - 463 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
462.750 MHz - 463 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)

462.750 MHz - 463 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

463 MHz - 464 MHz - Fixed Links, Scanning Telemetry (National)
463 MHz - 464 MHz - Fixed Links, Scanning Telemetry (Shared)

464.000 MHz - 466.062 MHz - Business Radio, Business Radio (Police and Fire)
466.087 MHz - 467.250 MHz - Business Radio, Business Radio (Police and Fire)

467.262 MHz - 469.875 MHz - Programme Making and Special Events, Audio Distribution System
467.262 MHz - 469.875 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
467.262 MHz - 469.875 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
467.262 MHz - 469.875 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

467.512 MHz - 467.537 MHz - Aeronautical, Aircraft
467.518 MHz - 467.531 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
467.518 MHz - 467.531 MHz - Maritime Radio, Ship Radio
467.531 MHz - 467.543 MHz - Aeronautical, Aircraft
467.531 MHz - 467.543 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
467.531 MHz - 467.543 MHz - Maritime Radio, Ship Radio
467.537 MHz - 467.562 MHz - Aeronautical, Aircraft
467.543 MHz - 467.556 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
467.543 MHz - 467.556 MHz - Maritime Radio, Ship Radio
467.556 MHz - 467.568 MHz - Aeronautical, Aircraft
467.556 MHz - 467.568 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
467.556 MHz - 467.568 MHz - Maritime Radio, Ship Radio
467.562 MHz - 467.587 MHz - Aeronautical, Aircraft
467.568 MHz - 467.581 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
467.568 MHz - 467.581 MHz - Maritime Radio, Ship Radio

469.875 MHz - 470 MHz - Business Radio 	Business Radio (Police and Fire)

470 MHz - 550 MHz - Broadcasting Services, Restricted Television Services
470 MHz - 550 MHz - Broadcasting Services, Terrestrial TV Broadcast Transmission (UHF Digital)
470 MHz - 606 MHz - Programme Making and Special Events, Audio Distribution System
470 MHz - 606 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
470 MHz - 606 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
470 MHz - 606 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

542 MHz - 550 MHz - Spectrum Access, Spectrum Access 542 - 550 MHz (Cardiff)

550 MHz - 606 MHz - Broadcasting Services, Terrestrial TV Broadcast Transmission (UHF Digital)

590 MHz - 598 MHz - Aeronautical, Aeronautical Radar

598 MHz - 606 MHz - Broadcasting Services, Restricted Television Services
606 MHz - 614 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
606 MHz - 614 MHz - Programme Making and Special Events, UK Wireless Microphone (Biennial)
606.6 MHz - 606.8 MHz - Programme Making and Special Events, Audio Distribution System
606.6 MHz - 606.8 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
606.6 MHz - 606.8 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
606.6 MHz - 606.8 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
606.9 MHz - 607.1 MHz - Programme Making and Special Events, Audio Distribution System
606.9 MHz - 607.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
606.9 MHz - 607.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
606.9 MHz - 607.1 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
614 MHz - 790 MHz - Programme Making and Special Events, Audio Distribution System
614 MHz - 790 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
614 MHz - 790 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
614 MHz - 790 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
614 MHz - 790 MHz - Broadcasting Services, Terrestrial TV Broadcast Transmission (UHF Digital)

758 MHz - 766 MHz - Spectrum Access, Spectrum Access 758 - 766 MHz

790 MHz - 821 MHz - Public Wireless Networks, Public Wireless Networks (Guernsey)
790 MHz - 821 MHz - Public Wireless Networks, Public Wireless Networks (Isle of Man)
790 MHz - 821 MHz - Public Wireless Networks, Public Wireless Networks (Jersey)

790 MHz - 821 MHz - Spectrum Access, Spectrum Access (800 MHz and 2.6 GHz)
791 MHz - 821 MHz - Licence Exempt, Cellular Radiotelephone Systems (4G - LTE/WiMAX)

823 MHz - 832 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
823 MHz - 832 MHz - Programme Making and Special Events, UK Wireless Microphone (Biennial)

832 MHz - 862 MHz - Licence Exempt, Cellular Radiotelephone Systems (4G - LTE/WiMAX)
832 MHz - 862 MHz - Public Wireless Networks, Public Wireless Networks (Guernsey)
832 MHz - 862 MHz - Public Wireless Networks, Public Wireless Networks (Isle of Man)
832 MHz - 862 MHz - Public Wireless Networks, Public Wireless Networks (Jersey)
832 MHz - 862 MHz - Spectrum Access, Spectrum Access (800 MHz and 2.6 GHz)

862 MHz - 863 MHz - Business Radio, Business Radio (Police and Fire)

863 MHz - 865 MHz - Licence Exempt, High Duty Cycle or Continuous Transmission Devices
863 MHz - 865 MHz - Licence Exempt, Non-Specific Short Range Device
863 MHz - 865 MHz - Licence Exempt, Radio Microphones
863 MHz - 865 MHz - Licence Exempt, Wireless audio/multimedia

864.100 MHz - 868.100 MHz - Licence Exempt, Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT)

865 MHz - 865.6 MHz - Licence Exempt, Radio Frequency Identification (RFID)
865 MHz - 870 MHz - Licence Exempt, Non-Specific Short Range Device
865.6 MHz - 867.6 MHz - Licence Exempt, Radio Frequency Identification (RFID)
866 MHz - 868 MHz - Licence Exempt, CDMA Spread Spectrum Data Asset Tracking Systems
867.6 MHz - 868 MHz - Licence Exempt, Radio Frequency Identification (RFID)
868.6 MHz - 868.7 MHz - Licence Exempt, Alarms
868.6 MHz - 868.7 MHz - Licence Exempt, Low Duty Cycle or High Reliability Devices
869.2 MHz - 869.25 MHz - Licence Exempt, Social Alarms
869.2 MHz - 869.4 MHz - Licence Exempt, Low Duty Cycle or High Reliability Devices
869.25 MHz - 869.3 MHz - Licence Exempt, Alarms
869.3 MHz - 869.4 MHz - Licence Exempt, Alarms
869.65 MHz - 869.7 MHz - Licence Exempt, Alarms
869.65 MHz - 869.7 MHz - Licence Exempt, Low Duty Cycle or High Reliability Devices
870 MHz - 871 MHz - Licence Exempt, Public Two-way Paging Systems
870 MHz - 873 MHz - Technology Development, High Duty Cycle Network Relay Points (NRP)
870 MHz - 873 MHz - Licence Exempt, Non-Specific Short Range Device
870 MHz - 875.8 MHz - Licence Exempt, Transport and Traffic Telematics
873 MHz - 875.6 MHz - Licence Exempt, Networked Meter Reading Sensors and Actuators
873 MHz - 876 MHz - Licence Exempt, Non-Specific Short Range Device

876 MHz - 880 MHz - Business Radio, Business Radio (GSM-R Railway Use)

880 MHz - 915 MHz - Licence Exempt, Cellular Radiotelephone Systems (2G - GSM)
880 MHz - 915 MHz - Licence Exempt, Cellular Radiotelephone Systems (4G - LTE/WiMAX)
880 MHz - 915 MHz - Public Wireless Networks, Public Wireless Networks (Cellular Operator)
880 MHz - 915 MHz - Public Wireless Networks, Public Wireless Networks (Guernsey)
880 MHz - 915 MHz - Public Wireless Networks, Public Wireless Networks (Isle of Man)
880 MHz - 915 MHz - Public Wireless Networks, Public Wireless Networks (Jersey)
880.1 MHz - 914.9 MHz - Licence Exempt, Cellular Radiotelephone Systems (3G - UMTS/PCN)
888 MHz - 889 MHz - Licence Exempt, Radio Determination
915 MHz - 918 MHz - Licence Exempt, Non-Specific Short Range Device
916.1 MHz - 916.5 MHz - Licence Exempt, Assistive Listening Device
916.1 MHz - 916.5 MHz - Licence Exempt, Radio Frequency Identification (RFID)
917.3 MHz - 917.7 MHz - Licence Exempt, Assistive Listening Device
917.3 MHz - 917.7 MHz - Licence Exempt, Radio Frequency Identification (RFID)
918 MHz - 921 MHz - Licence Exempt, Non-Specific Short Range Device
918.5 MHz - 918.9 MHz - Licence Exempt, Assistive Listening Device
918.5 MHz - 918.9 MHz - Licence Exempt, Radio Frequency Identification (RFID)
919.7 MHz - 920.1 MHz - Licence Exempt, Assistive Listening Device
919.7 MHz - 920.1 MHz - Licence Exempt, Radio Frequency Identification (RFID)

921 MHz - 925 MHz - Business Radio, Business Radio (GSM-R Railway Use)

925 MHz - 960 MHz - Licence Exempt, Cellular Radiotelephone Systems (2G - GSM)
925 MHz - 960 MHz - Licence Exempt, Cellular Radiotelephone Systems (4G - LTE/WiMAX)
925 MHz - 960 MHz - Public Wireless Networks, Public Wireless Networks (Cellular Operator)
925 MHz - 960 MHz - Public Wireless Networks, Public Wireless Networks (Guernsey)
925 MHz - 960 MHz - Public Wireless Networks, Public Wireless Networks (Isle of Man)
925 MHz - 960 MHz - Public Wireless Networks, Public Wireless Networks (Jersey)

960 MHz - 1215 MHz - Aeronautical, Aeronautical Navigation Aid Stations
960 MHz - 1215 MHz - Aeronautical, Aircraft
1025 MHz - 1035 MHz - Aeronautical, Aeronautical Radar
1085 MHz - 1095 MHz - Aeronautical, Aeronautical Radar/ADS-B

1164 MHz - 1215 MHz - Satellite Services, Global Navigation Satellite System (GNSS) Repeaters
1215 MHz - 1300 MHz - Satellite Services, Global Navigation Satellite System (GNSS) Repeaters

1215 MHz - 1350 MHz - Aeronautical, Aeronautical Radar

1240 MHz - 1325 MHz - Amateur Radio, Amateur Radio Full Licence
1240 MHz - 1325 MHz - Amateur Radio, Amateur Radio Intermediate Licence

1350 MHz - 1375 MHz - Fixed Links, Point-to-Point Fixed Links
1389 MHz - 1399 MHz - Licence Exempt, Video Distribution for Private Use
1389 MHz - 1399 MHz - Licence Exempt, Wireless Video Cameras - Non Broadcasting
1400 MHz - 1427 MHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)
1452 MHz - 1492 MHz - Spectrum Access, Spectrum Access L Band (1452-1492 MHz)
1492 MHz - 1517 MHz - Fixed Links, Point-to-Point Fixed Links

1517 MHz - 1525 MHz - Programme Making and Special Events, Audio Distribution System
1517 MHz - 1525 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
1517 MHz - 1525 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
1517 MHz - 1525 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

1518 MHz - 1544 MHz - Licence Exempt, Land Mobile-Satellite Service Stations
1525 MHz - 1544 MHz - Licence Exempt, Land Mobile-Satellite Service Stations

1525 MHz - 1559 MHz - Maritime Radio, Ship Radio

1545 MHz - 1559 MHz - Licence Exempt, Land Mobile-Satellite Service Stations
1559 MHz - 1610 MHz - Satellite Services, Global Navigation Satellite System (GNSS) Repeaters
1610 MHz - 1621.35 MHz - Licence Exempt, Land Mobile-Satellite Service Stations
1610.6 MHz - 1613.8 MHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)
1621.35 MHz - 1626.5 MHz - Licence Exempt, Land Mobile-Satellite Service Stations
1626.5 MHz - 1645.5 MHz - Licence Exempt, Land Mobile-Satellite Service Stations
1626.5 MHz - 1660.5 MHz - Maritime Radio, Maritime Radio (Suppliers and Demonstration)
1626.5 MHz - 1660.5 MHz - Maritime Radio, Ship Radio
1646.5 MHz - 1656.5 MHz - Aeronautical 	Aircraft
1646.5 MHz - 1660.5 MHz - Licence Exempt, Land Mobile-Satellite Service Stations

1660 MHz - 1660.5 MHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)
1660.5 MHz - 1668 MHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)
1668 MHz - 1670 MHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)

1670 MHz - 1675 MHz - Licence Exempt, Land Mobile-Satellite Service Stations
1672 MHz - 1673 MHz - Fixed Links, Point-to-Point Fixed Links

1677 MHz - 1685 MHz - Business Radio, Business Radio (Police and Fire)

1686 MHz - 1687 MHz - Fixed Links, Point-to-Point Fixed Links
1690 MHz - 1710 MHz - Spectrum Access, RSA for receive only earth stations (ROES)
1710 MHz - 1785 MHz - Licence Exempt, Cellular Radiotelephone Systems (2G - GSM)
1710 MHz - 1785 MHz - Licence Exempt, Cellular Radiotelephone Systems (4G - LTE/WiMAX)
1710 MHz - 1785 MHz - Public Wireless Networks, Public Wireless Networks (Cellular Operator)
1710 MHz - 1785 MHz - Public Wireless Networks, Public Wireless Networks (Guernsey)
1710 MHz - 1785 MHz - Public Wireless Networks, Public Wireless Networks (Isle of Man)
1710 MHz - 1785 MHz - Public Wireless Networks, Public Wireless Networks (Jersey)
1710.1 MHz - 1785 MHz - Licence Exempt, Cellular Radiotelephone Systems (3G - UMTS/PCN)
1781.7 MHz - 1785 MHz - Spectrum Access, Concurrent Spectrum Access (1781.7-1785 and 1876.7-1880 MHz)

1785 MHz - 1800 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
1785 MHz - 1800 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
1785 MHz - 1800 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

1785 MHz - 1805 MHz - Spectrum Access, 1785-1805 MHz Northern Ireland Award

1785 MHz - 1805 MHz - Programme Making and Special Events, UK Wireless Microphone (Annual)
1785 MHz - 1805 MHz - Programme Making and Special Events, UK Wireless Microphone (Biennial)

1790 MHz - 1798 MHz - Business Radio, Business Radio (Police and Fire)

1805 MHz - 1880 MHz - Licence Exempt, Cellular Radiotelephone Systems (2G - GSM)
1805 MHz - 1880 MHz - Licence Exempt, Cellular Radiotelephone Systems (4G - LTE/WiMAX)
1805 MHz - 1880 MHz - Public Wireless Networks, Public Wireless Networks (Cellular Operator)
1805 MHz - 1880 MHz - Public Wireless Networks, Public Wireless Networks (Guernsey)
1805 MHz - 1880 MHz - Public Wireless Networks, Public Wireless Networks (Isle of Man)
1805 MHz - 1880 MHz - Public Wireless Networks, Public Wireless Networks (Jersey)
1876.7 MHz - 1880 MHz - Spectrum Access, Concurrent Spectrum Access (1781.7-1785 and 1876.7-1880 MHz)
1880 MHz - 1900 MHz - Licence Exempt, Cordless Telephone Apparatus (CT1; extended CT1; CT2 and DECT)
1899.9 MHz - 1920 MHz - Licence Exempt, Cellular Radiotelephone Systems (3G - UMTS/PCN)
1899.9 MHz - 1980 MHz - Public Wireless Networks, Public Wireless Networks (3G Cellular Operator - Guernsey)
1899.9 MHz - 1980 MHz - Public Wireless Networks, Public Wireless Networks (3G Cellular Operator - Isle of Man)
1899.9 MHz - 1980 MHz - Public Wireless Networks, Public Wireless Networks (3G Cellular Operator - Jersey)
1900 MHz - 1920 MHz - Public Wireless Networks, Public Wireless Networks (2100 MHz)
1920 MHz - 1980 MHz - Licence Exempt, Cellular Radiotelephone Systems (3G - UMTS/PCN)
1920 MHz - 1980 MHz - Licence Exempt, Cellular Radiotelephone Systems (4G - LTE/WiMAX)
1920 MHz - 1980 MHz - Public Wireless Networks, Public Wireless Networks (2100 MHz)
1980 MHz - 2010 MHz - Satellite Services, Complementary Ground Components of a Mobile Satellite System
1997.5 MHz - 2010 MHz - Licence Exempt, Land Mobile-Satellite Service Stations

2010 MHz - 2025 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
2010 MHz - 2025 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
2010 MHz - 2025 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)
2025 MHz - 2110 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
2025 MHz - 2110 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
2025 MHz - 2110 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

2025 MHz - 2110 MHz - Satellite Services, Satellite (Earth Station)(Non-Fixed Satellite Service)
2025 MHz - 2110 MHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
2100 MHz - 2105 MHz - Fixed Links, Point-to-Point Fixed Links
2110 MHz - 2170 MHz - Licence Exempt, Cellular Radiotelephone Systems (3G - UMTS/PCN)
2110 MHz - 2170 MHz - Licence Exempt, Cellular Radiotelephone Systems (4G - LTE/WiMAX)
2110 MHz - 2170 MHz - Public Wireless Networks 	Public Wireless Networks (2100 MHz)
2110 MHz - 2170 MHz - Public Wireless Networks 	Public Wireless Networks (3G Cellular Operator - Guernsey)
2110 MHz - 2170 MHz - Public Wireless Networks 	Public Wireless Networks (3G Cellular Operator - Isle of Man)
2110 MHz - 2170 MHz - Public Wireless Networks 	Public Wireless Networks (3G Cellular Operator - Jersey)
2170 MHz - 2200 MHz - Satellite Services, Complementary Ground Components of a Mobile Satellite System
2187.5 MHz - 2200 MHz - Licence Exempt, Land Mobile-Satellite Service Stations
2200 MHz - 2290 MHz - Satellite Services, Satellite (Earth Station) (Non-Fixed Satellite Service)
2200 MHz - 2290 MHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)

2200 MHz - 2300 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
2200 MHz - 2300 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
2200 MHz - 2300 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

2205 MHz - 2210 MHz - Fixed Links, Point-to-Point Fixed Links

2302 MHz - 2310 MHz - Business Radio, Business Radio (Police and Fire)
2310 MHz - 2320 MHz - Business Radio, Business Radio (Police and Fire)

2310 MHz - 2350 MHz - Amateur Radio, Amateur Radio Full Licence
2310 MHz - 2350 MHz - Amateur Radio, Amateur Radio Intermediate Licence

2320 MHz - 2350 MHz - Business Radio, Business Radio (Police and Fire)

2350 MHz - 2390 MHz - Spectrum Access, Prospective Award (2350-2390 MHz)

2360 MHz - 2380 MHz - Business Radio, Business Radio (Police and Fire)

2390 MHz - 2450 MHz - Amateur Radio, Amateur Radio Full Licence
2390 MHz - 2450 MHz - Amateur Radio, Amateur Radio Intermediate Licence

2390 MHz - 2500 MHz - Programme Making and Special Events, Programme Making and Special Events (Fixed Site)
2390 MHz - 2500 MHz - Programme Making and Special Events, Programme Making and Special Events (Link)
2390 MHz - 2500 MHz - Programme Making and Special Events, Programme Making and Special Events (Low Power)

2400 MHz - 2483.5 MHz - Licence Exempt, Non-Specific Short Range Device
2400 MHz - 2483.5 MHz - Licence Exempt, Radio Determination
2400 MHz - 2483.5 MHz - Licence Exempt, Wideband Data Transmission Devices
2400 MHz - 2483.5 MHz - Licence Exempt, Wireless audio/multimedia
2400 MHz - 2483.5 MHz - Licence Exempt, Wireless Video Cameras - Non Broadcasting
2445 MHz - 2455 MHz - Licence Exempt, Industrial/Commercial Telemetry and Tele-command
2445 MHz - 2455 MHz - Licence Exempt, Radio Determination
2445 MHz - 2455 MHz - Licence Exempt, Short Range Indoor Data Links
2446 MHz - 2454 MHz - Licence Exempt, Radio Frequency Identification (RFID)
2446 MHz - 2454 MHz - Licence Exempt, Railway Applications
2483.5 MHz - 2500 MHz - Licence Exempt, Active medical implants
2483.5 MHz - 2500 MHz - Licence Exempt, Land Mobile-Satellite Service Stations
2500 MHz - 2690 MHz - Licence Exempt, Cellular Radiotelephone Systems (4G - LTE/WiMAX)

2500 MHz - 2690 MHz - Public Wireless Networks 	Public Wireless Networks (Guernsey)
2500 MHz - 2690 MHz - Public Wireless Networks 	Public Wireless Networks (Isle of Man)
2500 MHz - 2690 MHz - Public Wireless Networks 	Public Wireless Networks (Jersey)

2500 MHz - 2690 MHz - Spectrum Access, Spectrum Access (800 MHz and 2.6 GHz)
2690 MHz - 2700 MHz - Spectrum Access, Recognised Spectrum Access (Radio Astronomy)

2700 MHz - 3100 MHz - Aeronautical, Aeronautical Radar
2900 MHz - 3100 MHz - Maritime Radio, Maritime Navigational Aids and Radar
2900 MHz - 3100 MHz - Maritime Radio, Ship Radio

3100 MHz - 3402 MHz - Business Radio, Business Radio (Police and Fire)

3400 MHz - 3410 MHz - Amateur Radio, Amateur Radio Full Licence
3400 MHz - 3410 MHz - Amateur Radio, Amateur Radio Intermediate Licence

3400 MHz - 3440 MHz - Programme Making and Special Events (Fixed Site)
3400 MHz - 3440 MHz - Programme Making and Special Events (Link)
3400 MHz - 3440 MHz - Programme Making and Special Events (Low Power)

3410 MHz - 3480 MHz - Spectrum Access, Prospective Award (3410 - 3480 MHz and 3500 to 3580 MHz)

3442 MHz - 3475 MHz - Business Radio, Business Radio (Police and Fire)

3480 MHz - 3500 MHz - Fixed Wireless Access, Fixed Wireless Access (3.5 GHz - Guernsey)
3480 MHz - 3500 MHz - Fixed Wireless Access, Fixed Wireless Access (3.5 GHz Isle of Man)
3480 MHz - 3500 MHz - Fixed Wireless Access, Fixed Wireless Access (3.5 GHz Jersey)
3480 MHz - 3500 MHz - Spectrum Access, Spectrum Access (3.5 GHz Band)

3500 MHz - 3580 MHz - Programme Making and Special Events (Fixed Site)
3500 MHz - 3580 MHz - Programme Making and Special Events (Link)
3500 MHz - 3580 MHz - Programme Making and Special Events (Low Power)

3500 MHz - 3580 MHz - Spectrum Access, Prospective Award (3410 - 3480 MHz and 3500 to 3580 MHz)
3580 MHz - 3600 MHz - Fixed Wireless Access, Fixed Wireless Access (3.5 GHz - Guernsey)
3580 MHz - 3600 MHz - Fixed Wireless Access, Fixed Wireless Access (3.5 GHz Isle of Man)
3580 MHz - 3600 MHz - Fixed Wireless Access, Fixed Wireless Access (3.5 GHz Jersey)
3580 MHz - 3600 MHz - Spectrum Access, Spectrum Access (3.5 GHz Band)
3600 MHz - 3630 MHz - Fixed Wireless Access, Fixed Wireless Access (3.6 GHz Guernsey)
3600 MHz - 3630 MHz - Fixed Wireless Access, Fixed Wireless Access (3.6 GHz Isle of Man)
3600 MHz - 3630 MHz - Fixed Wireless Access, Fixed Wireless Access (3.6 GHz Jersey)
3600 MHz - 4200 MHz - Spectrum Access, RSA for receive only earth stations (ROES)
3600 MHz - 4200 MHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
3600 MHz - 4200 MHz - Satellite Services, Satellite (Permanent Earth Station)
3605 MHz - 3689 MHz - Spectrum Access, Spectrum Access (3.6 GHz)
3689 MHz - 3925 MHz - Fixed Links, Point-to-Point Fixed Links
3700 MHz - 3730 MHz - Fixed Wireless Access, Fixed Wireless Access (3.6 GHz Guernsey)
3700 MHz - 3730 MHz - Fixed Wireless Access, Fixed Wireless Access (3.6 GHz Isle of Man)
3700 MHz - 3730 MHz - Fixed Wireless Access, Fixed Wireless Access (3.6 GHz Jersey)
3925 MHz - 4009 MHz - Spectrum Access, Spectrum Access (3.6 GHz)
4009 MHz - 4200 MHz - Fixed Links, Point-to-Point Fixed Links

4200 MHz - 4400 MHz - Aeronautical, Aircraft

4500 MHz - 7000 MHz - Licence Exempt, Radio Determination
4500 MHz - 7000 MHz - Licence Exempt, Tank Level Probing Radar (TLPR)
5000 MHz - 5250 MHz - Aeronautical, Aeronautical Navigation Aid Stations
5150 MHz - 5250 MHz - Satellite Services, Satellite (Earth Station) (Non-Fixed Satellite Service)
5150 MHz - 5250 MHz - Satellite Services, Satellite (Earth Station) (Non-Geostationary)
5150 MHz - 5250 MHz - Satellite Services, Satellite (Permanent Earth Station)
5150 MHz - 5350 MHz - Licence Exempt, Wireless Access Systems
5150 MHz - 7100 MHz - Licence Exempt, Radar Level Gauges
5350 MHz - 5470 MHz - Aeronautical, Aircraft
5470 MHz - 5725 MHz - Licence Exempt, Wireless Access Systems

